,distance,elevation,gradient
0,0.0,0.0,0.0
1,0.02248251321089203,2.089999999999989,0.09296113741356343
2,0.03490006690135382,8.790000000000006,0.2518619813780079
3,0.02175826126232459,0.3400000000000034,0.01562624861889717
4,0.03457580784042046,7.530000000000001,0.21778233019901097
5,0.03630607992626102,7.47999999999999,0.20602609852653175
6,0.04699397602864196,2.8400000000000034,0.06043327762411667
7,0.014035030966168009,3.0200000000000102,0.21517587009817352
8,0.03505869667495661,4.699999999999989,0.13406088776133332
9,0.12877978220693076,17.560000000000002,0.1363568077152327
10,0.04139720661148371,1.9499999999999886,0.047104627573084916
